0,1,2,3,4,5,6,7,8,9
0.106720716,0.10920909,0.10192356,0.093901776,0.098951064,0.10240717,0.09871004,0.097759664,0.10376316,0.086653985
0.10439455,0.098139726,0.10508555,0.12498958,0.08969629,0.090463735,0.09185036,0.08676717,0.11472651,0.09388684
0.10770237,0.07589388,0.11989636,0.17651166,0.069204,0.09333513,0.084811606,0.076661125,0.11298287,0.083001144
0.085450806,0.063751474,0.13664,0.27508074,0.03990586,0.09815561,0.06396403,0.05794574,0.11695062,0.062154997
0.056110382,0.04212167,0.11901104,0.42471442,0.0214828,0.10949833,0.042001702,0.04102283,0.104553886,0.03948329
0.037032776,0.029854398,0.097680956,0.5163011,0.01366016,0.119675845,0.02587117,0.03095172,0.0959716,0.03300068
0.027819233,0.019434676,0.08029915,0.5915555,0.010080228,0.117824905,0.01899425,0.025979491,0.080956414,0.027055874
0.02043136,0.013774016,0.069072224,0.63644475,0.0078907255,0.12021339,0.015200633,0.02181202,0.06971542,0.025445756
0.01799462,0.010117772,0.05991127,0.66792005,0.006548644,0.120146595,0.0113335475,0.018488016,0.064481884,0.02305733
0.014450799,0.008171007,0.055673238,0.69108075,0.0057430104,0.12219356,0.009499854,0.016572213,0.056825973,0.019789696
0.012416696,0.0072748302,0.051573604,0.7144374,0.00522619,0.113513224,0.0085461205,0.015867038,0.05203844,0.019106459
0.011266153,0.0059847557,0.048283827,0.72695184,0.004916642,0.110786095,0.0074336044,0.014570067,0.05201668,0.017790671
0.0087560555,0.00480952,0.04293321,0.74534345,0.004196105,0.112666294,0.005566749,0.0132508725,0.04582062,0.016657103
0.0080778785,0.004462453,0.043732338,0.7500709,0.004079297,0.104843654,0.0057343454,0.013356884,0.04948669,0.016154693
0.00665889,0.0037736034,0.039505985,0.7710776,0.0036262432,0.099801384,0.0044029444,0.012651769,0.043945193,0.014556065
0.0064624096,0.0039329026,0.038957488,0.76516473,0.0037321667,0.10704677,0.0039531942,0.013280105,0.042621706,0.01484885
0.0056533455,0.0032910642,0.03862956,0.77399766,0.0031357303,0.10579891,0.003522618,0.01245345,0.039397594,0.014119891
0.004543896,0.0029842544,0.033949584,0.7971837,0.0026803883,0.09168312,0.003176392,0.01220225,0.03833911,0.013257443
0.0052053584,0.0031032315,0.033357937,0.7942602,0.0028444135,0.09302769,0.003165699,0.012994567,0.038627975,0.013413332
0.0037969926,0.0025839375,0.032095965,0.80877113,0.002668646,0.08299912,0.0027440083,0.011950379,0.03948339,0.01290652
0.00405628,0.002754287,0.032242496,0.80529404,0.0025603636,0.087471046,0.0025430603,0.012930018,0.037497107,0.012651268
